2025-05-22 21:35:22.104 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/""" - 200 904 "text/html" 40.4831ms ||  ||end 
2025-05-22 21:35:22.123 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.js""" - null null ||  ||end 
2025-05-22 21:35:22.123 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.aspnetcore.js""" - null null ||  ||end 
2025-05-22 21:35:22.131 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/scalar.js"' ||  ||end 
2025-05-22 21:35:22.136 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/scalar.aspnetcore.js"' ||  ||end 
2025-05-22 21:35:22.137 +08:00 || Information || Microsoft.AspNetCore.Http.Result.StatusCodeResult || Setting HTTP status code 304. ||  ||end 
2025-05-22 21:35:22.139 +08:00 || Information || Microsoft.AspNetCore.Http.Result.StatusCodeResult || Setting HTTP status code 304. ||  ||end 
2025-05-22 21:35:22.142 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/scalar.js"' ||  ||end 
2025-05-22 21:35:22.146 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/scalar.aspnetcore.js"' ||  ||end 
2025-05-22 21:35:22.148 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.js""" - 304 null null 25.646ms ||  ||end 
2025-05-22 21:35:22.153 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.aspnetcore.js""" - 304 null null 29.6412ms ||  ||end 
